run_id,A,R0,m,lambda,alpha,R_max,R_sp,G_0,S_exp,N,dx,T,CFL,dt,output_every,status,relative_path
run_001_A0p40_R02p00,0.40000000000000002,2,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,ok,run_001_A0p40_R02p00
run_002_A0p40_R02p50,0.40000000000000002,2.5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,ok,run_002_A0p40_R02p50
run_003_A0p40_R02p86,0.40000000000000002,2.8599999999999999,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,ok,run_003_A0p40_R02p86
run_004_A0p40_R03p50,0.40000000000000002,3.5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,ok,run_004_A0p40_R03p50
run_005_A0p40_R05p00,0.40000000000000002,5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,ok,run_005_A0p40_R05p00
run_006_A0p80_R02p00,0.80000000000000004,2,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,ok,run_006_A0p80_R02p00
run_007_A0p80_R02p50,0.80000000000000004,2.5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,ok,run_007_A0p80_R02p50
run_008_A0p80_R02p86,0.80000000000000004,2.8599999999999999,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,ok,run_008_A0p80_R02p86
run_009_A0p80_R03p50,0.80000000000000004,3.5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_009_A0p80_R03p50
run_010_A0p80_R05p00,0.80000000000000004,5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_010_A0p80_R05p00
run_011_A1p20_R02p00,1.2,2,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,ok,run_011_A1p20_R02p00
run_012_A1p20_R02p50,1.2,2.5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_012_A1p20_R02p50
run_013_A1p20_R02p86,1.2,2.8599999999999999,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_013_A1p20_R02p86
run_014_A1p20_R03p50,1.2,3.5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_014_A1p20_R03p50
run_015_A1p20_R05p00,1.2,5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_015_A1p20_R05p00
run_016_A1p60_R02p00,1.6000000000000001,2,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_016_A1p60_R02p00
run_017_A1p60_R02p50,1.6000000000000001,2.5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_017_A1p60_R02p50
run_018_A1p60_R02p86,1.6000000000000001,2.8599999999999999,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_018_A1p60_R02p86
run_019_A1p60_R03p50,1.6000000000000001,3.5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_019_A1p60_R03p50
run_020_A1p60_R05p00,1.6000000000000001,5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_020_A1p60_R05p00
run_021_A2p00_R02p00,2,2,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_021_A2p00_R02p00
run_022_A2p00_R02p50,2,2.5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_022_A2p00_R02p50
run_023_A2p00_R02p86,2,2.8599999999999999,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_023_A2p00_R02p86
run_024_A2p00_R03p50,2,3.5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_024_A2p00_R03p50
run_025_A2p00_R05p00,2,5,1,1,4,10,7.5,7.5,2,500,0.002004008016032064,10,0.20000000000000001,0.00058747206935255486,25,nonfinite,run_025_A2p00_R05p00
